id,count
723,227.01303
726,109.2254
728,197.67001
730,120.1329
731,108.539375
734,253.68004
737,76.504005
738,107.13153
745,221.94295
746,91.081055
749,214.66542
752,83.015205
753,95.92367
758,220.09865
765,101.15954
766,218.5043
768,87.39883
769,231.00792
774,208.11226
775,151.3991
781,66.16595
784,234.4307
794,134.98048
795,246.54549
796,96.93905
802,169.46558
803,136.545
805,78.89912
806,244.43834
807,152.70226
809,73.075966
810,226.31111
812,107.22078
814,126.986786
818,224.54417
819,235.42288
825,22.76914
836,104.3687
839,187.9251
847,243.15126
848,107.509834
851,195.54181
852,203.64331
853,80.089226
857,214.76942
858,117.851006
859,220.59016
861,31.86645
867,164.5281
870,198.58374
871,239.27234
872,251.98177
874,256.0924
881,241.52487
886,198.22055
890,74.95435
895,207.17145
899,96.40244
900,233.41103
901,241.19954
902,230.83737
903,116.89963
913,248.07164
918,243.92485
923,196.261
924,92.89082
926,89.198
927,109.01819
930,197.27614
934,67.36881
937,204.4181
939,173.54947
941,122.840416
942,253.19792
946,221.62123
950,147.61395
953,89.79597
959,83.69181
961,65.50488
962,118.45161
964,145.30331
969,184.42062
971,188.56267
976,90.52337
978,226.41772
980,232.05905
981,197.87895
990,244.3743
993,93.195694
996,110.480095
998,234.52547
999,221.82149
1006,191.7375
1008,89.001625
1013,111.88352
1015,136.81998
1016,180.40518
1022,234.73209
1026,214.79672
1028,239.51195
1031,61.206314
1034,81.78304
1037,233.67545
1040,121.82499
1042,106.47179
1046,134.97446
1048,145.93314
1049,183.88875
1050,105.13803
1051,219.31758
1052,234.73059
1055,120.06554
1060,199.47487
1064,132.6901
1066,81.04071
1071,188.72029
1073,95.936386
1089,209.48492
1091,141.73962
1092,98.96096
1093,236.66231
1096,228.45078
1097,203.99355
1098,92.00088
1099,85.003746
1102,239.25124
1107,106.67869
1109,108.50927
1111,79.726746
1112,177.28899
1114,261.95715
1116,233.73903
1117,184.99863
1118,91.634155
1122,202.85973
1124,214.65851
1127,120.76803
1133,216.82101
1134,95.42165
1135,192.13426
1139,227.48767
1143,94.56655
1150,114.96093
1151,167.72276
1153,241.1634
1155,102.115654
1162,98.76026
1163,210.3364
1166,38.61385
1171,109.54371
1172,74.18995
1173,241.43895
1174,115.38175
1177,150.59686
1178,161.95589
1184,107.484825
1185,176.05696
1186,120.8019
1187,230.3213
1188,249.8716
1191,209.02133
1207,157.01857
1213,119.272415
1215,197.55696
1223,228.31013
1227,178.36642
1236,84.8101
1237,58.391495
1238,132.3906
1241,70.18509
1248,110.694244
1250,76.61332
1251,219.30931
1253,123.18047
1255,151.2372
1257,219.59436
1261,131.06955
1262,229.7831
1265,180.88545
1273,243.76071
1277,208.60187
1278,163.1488
1280,109.344154
1284,185.17218
1285,252.70773
1288,115.33834
1295,169.61674
1297,248.6803
1299,241.80966
1304,199.44208
1308,101.388916
1310,144.06549
1311,176.02852
1314,122.36979
1315,160.90958
1318,57.184105
1320,257.96646
1321,234.14345
1322,194.7071
1330,187.96716
1333,227.54541
1334,197.91597
1341,194.15236
1344,187.53665
1351,220.82568
1354,111.50175
1356,102.11787
1363,183.05885
1365,207.53279
1369,189.55836
1373,123.936386
1375,182.68716
1377,72.11785
1379,216.9777
1380,221.80075
1381,124.91897
1384,204.56085
1390,220.26292
1393,233.5907
1395,83.909874
1399,232.56259
1400,105.036575
1401,141.50551
1404,223.56717
1408,99.96406
1409,54.879032
1413,204.9815
1416,226.66621
1418,139.7991
1423,110.45687
1424,75.9081
1425,75.64182
1433,248.58447
1434,202.06024
1436,239.56023
1442,220.08328
1444,90.48735
1445,195.1084
1452,210.43732
1455,228.54248
1462,112.209076
1467,58.750652
1472,116.77031
1475,142.31442
1493,166.56535
1501,219.80862
1503,233.27182
1504,242.8838
1505,71.82197
1511,240.90123
1512,74.154884
1513,167.8573
1514,132.42789
1528,225.66046
1533,252.98997
1534,92.81034
1536,207.36147
1537,101.568504
1539,167.46887
1550,199.56369
1552,213.24347
1554,231.15253
1555,239.69643
1556,94.492
1559,74.684715
1563,229.91895
1566,209.58047
1567,172.47906
1568,100.177124
1571,222.75798
1572,95.94283
1574,69.61528
1577,108.01344
1583,107.92871
1585,118.29228
1586,212.09221
1587,228.79597
1596,200.94466
1602,80.64414
1604,99.76988
1605,64.026924
1610,246.71642
1611,141.07703
1616,97.96218
1617,159.23448
1618,78.87382
1622,89.68974
1623,65.35952
1628,244.4323
1631,58.62641
1632,229.66833
1633,222.78412
1634,222.37439
1636,228.21046
1637,189.58167
1643,125.38214
1644,165.38597
1646,141.53413
1648,225.37996
1651,103.58671
1656,97.29392
1658,183.7336
1659,97.47742
1665,106.61219
1666,180.64273
1670,135.97751
1674,181.3686
1679,233.31976
1680,227.02435
1683,252.55762
1686,71.8219
1691,152.4573
1693,88.11674
1696,99.88197
1697,139.75134
1703,109.17669
1706,71.380875
1709,208.26122
1710,111.15257
1712,211.12073
1713,180.3201
1718,229.87822
1719,224.08298
1722,241.5323
1723,175.5972
1724,249.49796
1728,65.72568
1730,121.38946
1732,95.07985
1737,62.736385
1745,73.23507
1747,97.55989
1748,107.59643
1755,139.21945
1759,103.78572
1761,226.0453
1764,209.91693
1765,207.4406
1766,75.57074
1768,97.64742
1770,109.83595
1771,190.6923
1774,132.98827
1785,205.40097
1788,241.81004
1792,91.35837
1794,218.01764
1797,165.4736
1798,60.485058
1799,252.6944
1802,153.16516
1806,82.30227
1808,116.70213
1810,233.29688
1818,66.51061
1819,251.5434
1820,251.44772
1822,213.18445
1826,222.82117
1827,199.2396
1835,117.114044
1841,163.25989
1842,159.0655
1843,132.57498
1846,87.661316
1849,72.60047
1850,244.73952
1851,152.15051
1857,79.7752
1858,187.01941
1860,135.11394
1861,228.75574
1864,103.89787
1869,232.2632
1871,124.26403
1872,50.9544
1875,90.39971
1878,253.20667
1879,235.03645
1885,77.730194
1888,140.02975
1889,58.002777
1890,153.62352
1896,182.44972
1897,240.3354
1898,188.78831
1900,121.57222
1905,96.68926
1908,113.34388
1909,166.1969
1913,114.243904
1918,145.90054
1922,260.77353
1923,188.14082
1925,228.23918
1926,183.38785
1927,229.85895
1930,216.9129
1935,91.50181
1939,144.20795
1942,145.4026
1943,199.03278
1948,243.4762
1949,215.8744
1951,161.82587
1953,169.2329
1959,207.71753
1963,102.71563
1967,182.45876
1973,209.46188
1975,100.5793
1976,55.483482
1990,167.74646
1993,162.72903
1997,97.64909
1999,188.09015
2001,217.72644
2004,84.683846
2010,146.59338
2013,193.62708
2017,248.0254
2021,128.76852
2023,86.20185
2026,220.27438
2037,79.40152
2039,120.79649
2041,78.51239
2046,97.90674
2050,101.90953
2060,211.23265
2067,161.62253
2069,191.32736
2072,233.6936
2074,201.39546
2079,157.99202
2083,83.83551
2085,109.75297
2087,67.64573
2093,200.89468
2094,106.97057
2097,96.05634
2103,119.81623
2104,80.112724
2107,232.8843
2108,58.463966
2110,68.65945
2115,217.1379
2117,102.67372
2125,228.2834
2127,254.92352
2133,72.46204
2134,256.29395
2135,162.19284
2141,235.48471
2143,83.05632
2145,78.673004
2146,129.45903
2147,212.8117
2148,115.94538
2149,83.815025
2165,153.05188
2166,211.67712
2177,129.23409
